Buyer Full Name,Buyer SSN,Seller Full Name,Seller SSN,Witness Full Name,Witness SSN,Property Address,City,State,Square Feet,Property Category,Closing Date,Sale Amount (USD),Notes
Michaela Williams,169-64-2302,Natalie Ortiz,261-79-3210,,,"9827 Alyssa Causeway Suite 978, Port Robertshire, DE 23727",Port Robertshire,DE,2586,Multi-Family,2024-01-03,454566,
Valerie Gray,566-38-5926,Steve Newton,160-35-4617,,,"02578 Hernandez Passage, East Carrie, MO 18822",East Carrie,MO,1444,Condominium,2023-06-23,462236,Estate sale
Morgan Davis,,Janice Carlson,480-68-4120,,,"7569 Kevin Rapids Apt. 752, East Kevinfurt, MA 52699",East Kevinfurt,MA,1345,Condominium,2023-08-27,472025,Estate sale
Annette Farmer,641-28-4336,Erin Warner,278-40-4119,,,"5060 Shaw Freeway, Port Samuel, PW 51116",Port Samuel,PW,9504,Commercial,2024-02-15,3037916,
Annette Miles,874-84-9034,Patrick Arnold,,Doris Hall,724-37-7439,"786 Frye Mount Suite 854, Lake Devinborough, OH 80464",Lake Devinborough,OH,,Land/Lot,2024-05-16,64437,Cash sale
John Peterson,053-33-7828,Diana Washington,553-17-9356,,,"60422 Dustin Islands, Ashleyhaven, MH 32948",Ashleyhaven,MH,1506,Commercial,2023-10-30,403362,1031 exchange
Susan Hopkins,,Michael Mitchell,233-96-1481,Michelle Schmitt,,"0714 Knapp Corner, South Neil, NH 15714",South Neil,NH,4148,Single-Family Home,2021-02-28,956109,
Samantha White,,Kevin Lynn,,,,"537 Ford Walk, East Shannonmouth, MT 16218",East Shannonmouth,MT,3697,Multi-Family,2024-09-07,309897,Below market
James Lewis,335-44-6212,Jeffrey Meyer,826-69-3229,Joshua Kim,613-06-7079,"53654 Ashley Crest Apt. 238, Port Austin, AS 06520",Port Austin,AS,,Land/Lot,2021-05-31,77517,Cash sale
David Baker,811-81-9664,Shannon Smith,,Billy Mitchell,,"406 Velasquez Summit Apt. 910, Bryantton, OH 56035",Bryantton,OH,1470,Townhouse,2023-03-21,457088,Cash sale
Cameron Cunningham,,Arthur Colon,,,,"9930 Jackson Roads Suite 230, South Brandytown, PA 75548",South Brandytown,PA,,Land/Lot,2024-11-13,292735,
Laura Hines,,Nathan Stewart,761-69-3034,Misty Whitney,867-72-5993,"4422 Stacy Ports, Jeffreyshire, GU 51828",Jeffreyshire,GU,3483,Single-Family Home,2023-07-28,932434,
Michael Fox,,Elizabeth Kelley,,,,"9772 Maria Rapid, Lake Jessicaport, CO 19206",Lake Jessicaport,CO,5402,Multi-Family,2021-09-20,432202,Below market
Ana Hill,649-75-8985,Melissa Hernandez,831-73-4979,Rebecca Rodriguez,888-04-2160,"1820 Jasmine Mill, Masonton, NV 69191",Masonton,NV,1750,Single-Family Home,2022-04-20,371618,
Curtis Baker,536-26-5865,Elizabeth Williams,509-27-7876,,,"3744 Williams Via, North Kimberly, CA 23399",North Kimberly,CA,5713,Multi-Family,2023-01-03,1261019,
Vincent Smith,,Rebecca Mendez,701-91-0853,Charles Frost,,"90669 Dawson Ranch Apt. 277, Davisview, IN 01904",Davisview,IN,2729,Commercial,2024-01-11,631856,
Benjamin Beck,339-80-5144,Jeremy Young,,,,"35733 Eric Hill Apt. 888, Romerotown, MN 05448",Romerotown,MN,1157,Condominium,2023-04-22,357134,Foreclosure
Misty Whitney,867-72-5993,Brian Bruce,377-15-4565,Rachael Pearson,773-04-4052,"5060 Shaw Freeway, Port Samuel, PW 51116",Port Samuel,PW,9504,Commercial,2021-10-19,2803792,Short sale
Juan Tran,096-29-1859,Jeffrey Sanchez,,Michael Calhoun,,"2456 Williams Center, Mitchelltown, PR 75248",Mitchelltown,PR,4032,Commercial,2024-02-18,1265138,
Tyler Reid,849-59-2507,Dustin Jordan,,Mrs. Brittany Ryan MD,,"8313 Joel Park, Patriciaburgh, VT 03946",Patriciaburgh,VT,2712,Single-Family Home,2024-09-15,713926,
Susan Rivas,264-62-4836,Robert Stevens,313-30-3653,,,"68733 Williams Haven, Jimenezport, NM 65367",Jimenezport,NM,8158,Commercial,2024-03-06,2301740,
Paul Thompson,136-70-5995,Renee Bruce,,Erik Scott,157-88-7771,"5171 Jason Street Suite 962, West Nancy, AZ 81261",West Nancy,AZ,1765,Condominium,2022-12-21,584580,1031 exchange
Ana Hill,649-75-8985,Phillip Clark,222-30-5384,Morgan Marsh,226-63-3596,"825 Jeffrey Fork Suite 655, West Connor, DC 34653",West Connor,DC,1038,Condominium,2021-01-11,390107,
Colton Martinez,869-59-1502,David Johnson,575-42-9996,,,"941 Wendy Flat, East Madison, MN 85171",East Madison,MN,,Land/Lot,2024-05-28,291758,
James Lewis,335-44-6212,Michael Mitchell,233-96-1481,,,"53654 Ashley Crest Apt. 238, Port Austin, AS 06520",Port Austin,AS,,Land/Lot,2023-06-26,215898,Estate sale
Jeffrey Henderson,479-94-0888,Richard Baker,639-89-6513,Angela Patterson,888-60-2978,"1778 Anderson Village, Hammondshire, CA 72761",Hammondshire,CA,1480,Condominium,2023-10-26,513548,Short sale
Corey Murphy,886-09-4574,Robert Stevens,313-30-3653,Gina Wilson,078-19-3697,"68685 Stone Well, Port Brooke, MD 02121",Port Brooke,MD,3061,Multi-Family,2022-09-15,487106,1031 exchange
Shannon Smith,,Kimberly Burgess,,Jacob Tran,,"2655 Christopher Inlet, Lake Charles, KY 58793",Lake Charles,KY,,Land/Lot,2023-10-06,120880,Estate sale
Andrea Martin,,Elizabeth Kelley,,,,"06038 Fields Square, Cuevasborough, VA 01758",Cuevasborough,VA,901,Condominium,2023-12-28,275659,Cash sale
Jeffrey Daniels,310-79-8667,Anthony Rodriguez,643-21-6917,,,"51238 Andrea Isle, Carloston, AS 73881",Carloston,AS,2265,Townhouse,2023-12-28,578340,Short sale
William Richardson,661-46-0993,Erik Williams,,Erin Johnson,,"2513 Haas Expressway, East Carriebury, SC 83887",East Carriebury,SC,848,Condominium,2023-07-25,225061,
Megan Le,676-88-2241,Thomas Schmidt,,Laura Hines,,"995 Hernandez Cliff Suite 744, Port Courtney, NH 78019",Port Courtney,NH,6405,Commercial,2021-07-03,1651254,Estate sale
James Baker,127-59-6039,Nicholas Sheppard,277-79-8818,,,"722 Jennifer Mount Apt. 430, Lisaburgh, MP 26645",Lisaburgh,MP,2566,Single-Family Home,2023-08-22,484218,Contingent on inspection
Mary Marshall,,Annette Miles,874-84-9034,Dana Marshall,625-86-6210,"103 Burns Mission Apt. 798, West Micheal, NH 46344",West Micheal,NH,,Land/Lot,2024-02-04,243374,
John Price,,Hannah Patterson,,,,"072 Carolyn Branch, West Denise, NY 29830",West Denise,NY,1587,Townhouse,2021-06-17,420635,Contingent on inspection
Anna Chang,047-02-2268,Carolyn Howard,449-80-4396,Sarah Ward,694-41-6980,"7467 Banks Union Apt. 120, West Lisaburgh, DE 21393",West Lisaburgh,DE,3128,Single-Family Home,2022-10-07,837207,
Victor Waller,464-18-2264,Carrie Ochoa,107-50-9840,Erica Keith,429-78-4068,"833 Claudia Highway Suite 228, Morrisonhaven, ME 71606",Morrisonhaven,ME,,Land/Lot,2022-02-16,144664,
Taylor Coleman,,Dr. Ashley James MD,,,,"0614 Gonzalez Burg, South Ashleyfort, FL 27626",South Ashleyfort,FL,4509,Multi-Family,2023-08-28,772114,
William Richardson,661-46-0993,Krista Gibson,323-33-5297,Lindsey Johnson,235-87-9425,"1418 Terri Drives, Milesland, SC 70806",Milesland,SC,1955,Townhouse,2024-08-26,605898,1031 exchange
Elizabeth Williams,509-27-7876,Aaron Powers,114-74-8096,Curtis Baker,536-26-5865,"3744 Williams Via, North Kimberly, CA 23399",North Kimberly,CA,5713,Multi-Family,2023-01-22,1702375,
Ronald Johns,760-56-1182,Tyler Medina,008-81-1073,,,"61809 Katelyn Prairie Apt. 158, Hughesfurt, NE 14412",Hughesfurt,NE,11270,Commercial,2023-08-02,3531446,
Kimberly Smith,,Krista Gibson,323-33-5297,Marie Kim DDS,124-32-3682,"80003 Thomas Lights, Ericville, MH 20172",Ericville,MH,2162,Single-Family Home,2021-01-24,454752,Contingent on inspection
Joseph Ramos,285-24-9591,Savannah Garcia,,Aaron Hayes,,"49021 Elizabeth Valley Suite 938, Williamsmouth, NH 08494",Williamsmouth,NH,8491,Commercial,2023-07-25,1883548,1031 exchange
Kimberly Gibson,330-25-3913,Michael Elliott,224-60-4199,Heather Fields,,"5060 Shaw Freeway, Port Samuel, PW 51116",Port Samuel,PW,9504,Commercial,2024-09-29,2217239,Short sale
Linda Dodson DVM,,Janet Ross,152-84-0091,,,"1778 Anderson Village, Hammondshire, CA 72761",Hammondshire,CA,1480,Condominium,2023-03-16,224944,Below market
Elizabeth Sutton,825-16-9273,Shannon Smith,,Thomas Ellis,272-18-4041,"5655 Nelson Club Apt. 291, Batesberg, IA 20870",Batesberg,IA,2693,Commercial,2023-01-16,702414,Short sale
Belinda Mccullough,,Derek Anderson,661-39-7492,Heather Foster,601-26-8483,"396 Tyler Road Suite 473, Port Michelleland, AZ 90284",Port Michelleland,AZ,2665,Single-Family Home,2024-11-26,668712,
Cameron Fisher,,Paul Jones,,,,"2353 Hudson Gardens Suite 854, Lake Dustin, KS 64545",Lake Dustin,KS,2392,Townhouse,2024-10-05,714642,Contingent on inspection
Mario Skinner,,Mrs. Brittany Ryan MD,,,,"622 Patel Forks Suite 160, Keithville, AL 57677",Keithville,AL,1497,Condominium,2023-09-20,419804,Short sale
Ellen Morgan,007-24-2348,Raymond Hancock,845-01-8890,,,"93638 Rowe Light Suite 854, East Sharonville, WA 34784",East Sharonville,WA,1644,Single-Family Home,2023-09-28,447254,Foreclosure
Marie Kim DDS,124-32-3682,Annette Farmer,641-28-4336,,,"35733 Eric Hill Apt. 888, Romerotown, MN 05448",Romerotown,MN,1157,Condominium,2024-12-26,321380,
Morgan Marsh,226-63-3596,Janet Weeks,521-96-2237,,,"22927 Robert Springs Apt. 794, Nancyberg, PA 99118",Nancyberg,PA,2138,Townhouse,2021-04-14,514478,Foreclosure
Desiree Smith,196-11-3955,Christopher Smith,547-17-4495,Brian Bruce,377-15-4565,"8662 Miller River, Kristenmouth, NM 39216",Kristenmouth,NM,,Land/Lot,2022-05-02,110287,
Mrs. Brittany Ryan MD,,Sarah Phelps,,,,"1418 Terri Drives, Milesland, SC 70806",Milesland,SC,1955,Townhouse,2021-10-26,463178,
Ronald Johns,760-56-1182,Steve Newton,160-35-4617,,,"53654 Ashley Crest Apt. 238, Port Austin, AS 06520",Port Austin,AS,,Land/Lot,2023-07-26,197908,Below market
Rachel Carlson,,Mason Johnson,491-52-6985,,,"56915 Morris Estate Suite 752, Port Daniel, NC 93192",Port Daniel,NC,9111,Commercial,2022-12-07,2135133,Short sale
Anthony Carter,,Maria Lynch,,,,"2655 Christopher Inlet, Lake Charles, KY 58793",Lake Charles,KY,,Land/Lot,2022-02-25,331449,
Debbie Carpenter,272-05-1777,Aaron Hayes,,,,"1545 Green Station, Annaport, ME 85890",Annaport,ME,1766,Single-Family Home,2021-03-24,363657,
Maria Lynch,,Kevin Hayes,227-79-0711,,,"27279 Perry Plaza, Hannahport, MN 62213",Hannahport,MN,648,Condominium,2023-06-17,234843,
Dana Kennedy,417-25-1546,Paige Carlson,103-25-4854,Paul Carroll,296-57-2038,"0614 Gonzalez Burg, South Ashleyfort, FL 27626",South Ashleyfort,FL,4509,Multi-Family,2024-02-29,903530,
Susan Rivas,264-62-4836,Carmen Smith,400-34-7455,,,"6471 King Gateway Suite 993, Trevorland, GA 60513",Trevorland,GA,,Land/Lot,2023-05-25,223852,Contingent on inspection
Carmen Smith,400-34-7455,Joshua Price,380-86-8851,Michael Calhoun,,"833 Claudia Highway Suite 228, Morrisonhaven, ME 71606",Morrisonhaven,ME,,Land/Lot,2022-05-25,312669,
Amber Obrien,509-37-3771,Paul Thompson,136-70-5995,Michael Calhoun,,"5905 Mark Point Suite 449, West Nathan, LA 20210",West Nathan,LA,1136,Townhouse,2024-02-16,303777,
Jordan Frazier,,Parker Hill,,,,"0345 Michelle Isle Suite 156, West Sarahhaven, MO 52932",West Sarahhaven,MO,1136,Condominium,2022-09-27,310467,
Erin Warner,278-40-4119,Paige Carlson,103-25-4854,,,"80003 Thomas Lights, Ericville, MH 20172",Ericville,MH,2162,Single-Family Home,2021-11-01,410886,
Olivia Harris,563-17-4720,Roberta Hughes,680-84-2493,,,"59774 Shaw Manor Apt. 392, Youngbury, ME 33269",Youngbury,ME,1302,Condominium,2022-04-02,215627,Below market
Joshua Kim,613-06-7079,Edward Novak,594-95-8884,Jane Harper,302-59-8283,"656 Alex Green, Lake Elizabeth, GA 29599",Lake Elizabeth,GA,2258,Townhouse,2021-10-27,510894,
Lisa Barnes,598-73-8566,Erin Johnson,,Jeffrey Daniels,310-79-8667,"12172 Osborn Valleys Suite 518, Lewisport, UT 71564",Lewisport,UT,1717,Condominium,2021-12-03,548145,Short sale
Belinda Mccullough,,Heather Lane,218-20-7901,Rachel Carlson,,"0148 Harry Vista Suite 039, New Samanthabury, IL 19400",New Samanthabury,IL,,Land/Lot,2021-10-15,158093,1031 exchange
Maria Kerr,,Brandi Bailey,071-32-6055,Adam Jones,708-20-8939,"3159 Novak Islands, New Juliestad, AR 04384",New Juliestad,AR,10321,Commercial,2023-01-23,2940670,Foreclosure
Rachael Pearson,773-04-4052,Kimberly Burgess,,,,"786 Frye Mount Suite 854, Lake Devinborough, OH 80464",Lake Devinborough,OH,,Land/Lot,2023-05-06,152163,
Jane Harper,302-59-8283,Jennifer Jones,,,,"0148 Harry Vista Suite 039, New Samanthabury, IL 19400",New Samanthabury,IL,,Land/Lot,2023-04-18,154362,Estate sale
